キャラ	EXスキル名	EXスキル詳細
サオリ	et omnia vanitas！	敵1人に対して、攻撃力の1275%分の確定会心ダメージ
アズサ	intulit mortem	敵1人に対して、攻撃力の2023%分のダメージ
ミカ	Kyrie Eleison	敵1人に対して攻撃力の1540%分のダメージ\n(対象の現在のHPに比例してダメージが1～2倍に変更)\n(対象の敵HPが多ければ多いほどダメージが大きくなります)
ユウカ	Q.E.D.	治癒力の248％分のシールド効果を発動\n(15秒間)
ユウカ（体操服）	R.S.G !	指定した位置に移動した後、治癒力の320%分のシールド効果を発動(25秒間)\n旗を召喚し自身を除く味方3人を旗の位置に移動させ、旗に到着した対象に対して、治癒力の320%分のシールド効果を発動(25秒間)
アズサ（水着）	spicea aqua	敵1人に対して、攻撃力の847%分のダメージ\n攻撃力の650%分の悪寒持続ダメージを付与(20秒間)
ネル	あぁ？殺されてぇか？	敵1人に攻撃力の762%分のダメージ\n自身が怒り状態の時はダメージが1.7倍になる
ノノミ	お仕置きの時間です～♧	扇形範囲内の敵に対して、攻撃力の821%分のダメージ
マリー（体操服）	お水をどうぞ	自身を除く円形範囲内の味方に対して治癒力の318%分の回復
ミモリ	お花見日和ですね	円形範囲内の味方5人を指定した位置に移動させた後、攻撃速度を28%増加(40秒間)
ナツ	こういう時のとっておき	治癒力の338%分の回復\nさらに弱体状態を1つ解除
イズナ	これぞイズナ流忍法！	指定した位置に移動した後、攻撃速度を52.1％増加(30秒間)
チセ	これは痛いかもよ～	円形範囲内の敵に対して、攻撃力の106%分の持続ダメージを付与(10秒間)
アツコ	これも私の力……？	自身を中心とした円形範囲内の味方を5秒毎に、治癒力の53.9%分の回復(30秒間)
シュン（幼女）	そういうのはダメなんですよ？	敵1人に対して、攻撃力の803%分のダメージ\n(この攻撃は敵の防御力を44%無視します)
ネル（バニーガール）	そこ、動くなっ！	指定した位置に移動した後、治癒力の401%分のシールド効果を発動(20秒間)\n円形範囲内の敵に対して、攻撃力の531%分のダメージ。さらに挑発状態を付与(3秒間)
コハル（水着）	そんな事ないんだから！	円形範囲内の敵に攻撃力の834%分のダメージ
ココナ	たいへんよくできました！	自身を除き味方1人に対して治癒力の290%分の回復\n自身に治癒力の101%分の回復\n「花丸スタンプ」を1個獲得
ハナコ（水着）	たっぷりかけちゃいますね♡	扇形範囲内の敵に対して、攻撃力の642%分のダメージ\n水ゲージが1つ以上の場合、EXスキルをすぐにドローした後、1ゲージ差し引きます
イチカ	ちょっと失礼するっす	扇形範囲内の敵に対して、攻撃力の1380%分のダメージ
イズミ（水着）	つめた～いココナッツジュース！	敵1人に対して、ココナッツを投擲して攻撃力の532%分のダメージ。\n投擲されたココナッツを中心として周囲にまた攻撃が当たっていない敵がいる場合、ココナッツがその方向へ跳ねて再度ダメージを与えます(2回目以降ダメージ量は初撃の値の10%減少)\n(最大5回まで)\nさらに気絶状態を付与(3.1秒間)
アスナ（バニーガール）	ねぇねぇこれ見て！	円形範囲内の敵に対して、防御力を24.6%減少(40秒間)\nさらに、攻撃力の438%分のダメージ
フブキ	まずは甘い休憩から	攻撃力を69.4%増加(46秒間)
ユカリ	まっすぐに芽生えた決意	円形範囲内の敵に攻撃力の302分のダメージ\nさらに自身が所有する「祈願」を10個単位で可能な限り消耗し、消耗した「祈願」10個毎に攻撃力の223%分の確定会心ダメージ
トモエ	みなさん、こちらに耳を傾けてください！	円形範囲内の味方に対して、会心ダメージ率を20.1%、会心値を20.1%、移動速度を30.8%増加させ、通常攻撃の射程を38.5%減少(30秒間)
アリス（メイド）	アリス、お掃除します！	敵1人に対して、攻撃力の1128分のダメージ
ハスミ	アーマーピアッシング弾	敵1人に対して、攻撃力の1091%分のダメージ
イズナ（水着）	イズナ流忍法・夏バージョン	敵1人に対して、攻撃力の804%分のダメージ\n指定した敵に対して集中砲火状態(30秒間)
イブキ	イブキのお絵描きタイム	自身を除く円形範囲内の味方の攻撃力を50.2%増加(35秒間)
スズミ	オーダーメイド閃光弾	円形範囲内の敵に攻撃力の518％分のダメージ\nさらに気絶状態を付与(4.1秒間)
アカリ	グレネード、大盛りで！	円形範囲内の敵に攻撃力の744％分のダメージ
ユズ	ゲームスタート！	指定した相手を中心とした円形範囲内の敵に対し、攻撃力の594％分ダメージ
サキ（水着）	シグナルフレア、投擲！	敵1人に対して、攻撃力の552%分のダメージ\nさらに防御力、攻撃力、会心抵抗値を20.8%減少(50秒間)
シグレ	シグレ特製ボトルグレネード	直線範囲内の敵に対して、攻撃力の681%分のダメージ\n攻撃力の83.1%分の火傷持続ダメージを付与(20秒間)
トキ	システム：アビ・エシュフ	アビ・エシュフモードに転換、攻撃力を41.8%、命中値を18.1%、回避値を12.2%増加\n(Exスキル3回使用時に解除)\n\nモード転換後、EXスキル(5コスト)の使用時1、2撃目の攻撃は直線範囲内の敵に対して、攻撃力の167%分のダメージ\n最後の攻撃は直線範囲内の指定した敵に対して、攻撃力の1153%分のダメージ、その他の敵に対して、攻撃力の230%分のダメージ\n(3回攻撃全て敵の防御力を60%無視)
カヨコ（ドレス）	シャドウショット	敵1人に対して、攻撃力分のダメージ\n(この攻撃は敵の防御力を一定値無視します)\n自身が「潜入行動」状態の場合、この攻撃は確定会心に変更\n以後、自身の「潜入行動」状態を解除
カスミ	ジャイアントヒール・クラッシュ	円形範囲内の敵に対して、防御力を33.5%減少(25秒間)\n攻撃力の432.5%分のダメージ
カズサ	スイート・ファイア	スキル発動後すぐにリロード\n敵1人に対して攻撃力1773%分のダメージ
スミレ	スパートをかけます！	扇形範囲内の敵に対して、攻撃力の1410%分のダメージ
コハル	セイなる手榴弾	円形範囲内の味方に対して、治癒力の192%分の回復。\n敵に対しては攻撃力の431%分のダメージ
イズミ	チーズチョコレートバーガー	治癒力の254%分の回復\n攻撃速度を38.4%増加(21秒間)
ツクヨ	ツクヨ流、忍法……！	攻撃を受ける度に、治癒力の11.2%分の回復をする効果を付与(30秒間)(最大で100回分まで適用されます)\nさらに攻撃力を20.2%減少(30秒)
